"scale_views" "num_factor" "spikeslab_weights" "mean_sil_score" "min_sil_score" "max_sil_score" "dunn" "mofa_knn_acc" "mofa_knn_acc_bal" "mofa_rmse" "time_integration" "imputation_time"
"elapsed" TRUE 10 TRUE 0.452840611843044 -0.362006995070143 0.957254001109221 9.23355881297482e-05 0.901315789473684 0.833861371849587 0.886099560251483 85.3559999999998 0.184999999999945
"elapsed1" FALSE 10 TRUE 0.454676698200456 -0.396915562141569 0.949709989587897 0.000186758916818778 0.903309409888357 0.8306067281268 0.885381490928959 92.5320000000002 0.172999999999774
"elapsed2" TRUE 15 TRUE 0.460301456297622 -0.37343996167463 0.969061610624835 1.73010126208585e-05 0.906299840510367 0.8731168030871 0.884989331714652 89.1030000000001 0.228999999999814
"elapsed3" FALSE 15 TRUE 0.444704208393087 -0.245913203870869 0.961086865522066 0.000258048085532136 0.900717703349282 0.865333773820609 0.885179440033875 90.9650000000001 0.177000000000135
"elapsed4" TRUE 20 TRUE 0.442438897578961 -0.20344074323018 0.961311824941975 9.24837767881443e-05 0.896730462519936 0.851321787281243 0.880637571553475 123.938 0.182999999999993
"elapsed5" FALSE 20 TRUE 0.438281259998482 -0.540669936392283 0.974315849946275 0.000112435946471837 0.894736842105263 0.832189438212073 0.881106863137061 106.245 0.221000000000458
"elapsed6" TRUE 30 TRUE 0.408076221626015 -0.200026507319911 0.976597605655154 0.000102515722082198 0.885566188197767 0.842629373514053 0.874885597776549 160.533 0.226999999999862
"elapsed7" FALSE 30 TRUE 0.447533100654604 -0.301770311115637 0.980023666735295 3.95272261641072e-05 0.886762360446571 0.835186606540898 0.875998809152559 166.935 0.23700000000008
"elapsed8" TRUE 40 TRUE 0.42270963422919 -0.277762113876475 0.974656349511443 5.55934645248839e-05 0.891148325358852 0.858838811980657 0.874295255721919 242.755 0.233000000000175
"elapsed9" FALSE 40 TRUE 0.43260155294656 -0.297854600784184 0.974843390885141 4.34470465654323e-05 0.890151515151515 0.848483159980115 0.876488258671696 206.203 0.220999999999549
"elapsed10" TRUE 50 TRUE 0.428010671917759 -0.27095875721543 0.978787502086404 5.37666468766261e-05 0.880980861244019 0.843854894025027 0.873150592994061 358.471 0.226999999999862
"elapsed11" FALSE 50 TRUE 0.446272634507261 -0.317440921435607 0.975587309451451 7.20806965114833e-05 0.890749601275917 0.84414966659345 0.876279448394458 306.121 0.22400000000016
"elapsed12" TRUE 60 TRUE 0.442533393056345 -0.325247508377459 0.974154337634746 6.43620240951488e-05 0.883572567783094 0.855128480183707 0.873578682283215 431.209 0.203999999999724
"elapsed13" FALSE 60 TRUE 0.43176164633287 -0.301771006553222 0.961579234678042 8.40140658539908e-05 0.895334928229665 0.850466296731514 0.876610411137833 355.954 0.212999999999738
"elapsed14" TRUE 70 TRUE 0.42556053858977 -0.422278372633671 0.97668571143008 1.512337029731e-05 0.885167464114832 0.847640688303231 0.873004194900156 457.461 0.205000000000837
"elapsed15" FALSE 70 TRUE 0.442061232700383 -0.184870648387449 0.977317316057813 0.000210270142795835 0.893540669856459 0.851617306273622 0.876458069901832 489.603 0.222999999999956
"elapsed16" TRUE 10 FALSE 0.458848262092694 -0.367008904148152 0.955058078828739 0.000156362282701146 0.902113237639553 0.835532523801474 0.88469083370783 108.56 0.220000000000255
"elapsed17" FALSE 10 FALSE 0.450861585207822 -0.33443493697563 0.937400241305496 5.06912510596899e-05 0.90530303030303 0.842693992406198 0.885715360443809 89.366 0.182999999999083
