"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse" "rmse_atac" "rmse_rna"
10 -0.136976094368633 0.251072346713291 0.801988223637594 1.0025601579234 0.583725422753326
52 -0.028902208892429 0.485469487268188 0.76064998666353 0.965050025700971 0.519705402202481
104 0.127391479009078 0.625368641488688 0.759180965756276 0.958159570208613 0.509110603406042
156 0.256804141753327 0.741566811189213 0.764223470506033 0.955626806688672 0.508497496563354
218 0.305085314828119 0.777643047734835 0.77152610488877 0.954062496766935 0.507500516098315
438 0.447024042788397 0.844103650256608 0.802400717666672 0.950181240076712 0.49754962173114
653 0.445808964445609 0.867588555830083 0.847034658930262 0.948732936868553 0.48761547021355
870 0.446803407723908 0.862872485945355 0.911499793682245 0.947927097672174 0.433321794515229
953 0.462357986149769 0.859800697203673 0.947486726931683 0.947486726931683 NA
1088 0.405341133245078 0.850669825259412 0.934643319140688 0.934643319140688 NA
1305 0.388808176628747 0.83130658156874 0.927321661432323 0.927321661432323 NA
1523 0.380419328430079 0.823829466282371 0.917577373567883 0.917577373567883 NA
1730 0.378226637017887 0.831604790369974 0.859033133341732 0.859033133341732 NA
