"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse" "rmse_atac" "rmse_rna"
10 -0.0979879227933818 0.329656825535706 0.795916253721748 0.988418731703415 0.58860234177703
52 0.0568024475633165 0.656817578323508 0.749919862382206 0.945231004043702 0.522322676153584
104 0.218930814617236 0.744323452859506 0.745866818940623 0.936282089593317 0.508944273082184
156 0.317106899240781 0.801356140416435 0.750874124426257 0.934185111128011 0.50834060530845
218 0.349510296338496 0.824806247836811 0.758624902197537 0.933460627447507 0.508273821353541
438 0.40563425516651 0.840782948878738 0.790140188466954 0.932410428850759 0.49934372744671
653 0.416730629967343 0.825569804388299 0.834436225212273 0.932608841765884 0.490532021390235
870 0.419153856349878 0.833002661462509 0.898250392308132 0.933676369643784 0.436710036911935
953 0.409553404512695 0.838170232935425 0.933949228083847 0.933949228083847 NA
1088 0.370907475798391 0.82097175470181 0.927435149794382 0.927435149794382 NA
1305 0.363462445528769 0.820149271075879 0.922735448720734 0.922735448720734 NA
1523 0.374516377059872 0.815336241845818 0.914854628696105 0.914854628696105 NA
1730 0.375361505297146 0.827143372280553 0.858355281099644 0.858355281099644 NA
